"","DataZone2011Code","AGE0","AGE1","AGE2","AGE3","AGE4","AGE5","AGE6","AGE7","AGE8","AGE9","AGE10","AGE11","AGE12","AGE13","AGE14","AGE15","AGE16","AGE17","AGE18","AGE19","AGE20","AGE21","AGE22","AGE23","AGE24","AGE25","AGE26","AGE27","AGE28","AGE29","AGE30","AGE31","AGE32","AGE33","AGE34","AGE35","AGE36","AGE37","AGE38","AGE39","AGE40","AGE41","AGE42","AGE43","AGE44","AGE45","AGE46","AGE47","AGE48","AGE49","AGE50","AGE51","AGE52","AGE53","AGE54","AGE55","AGE56","AGE57","AGE58","AGE59","AGE60","AGE61","AGE62","AGE63","AGE64","AGE65","AGE66","AGE67","AGE68","AGE69","AGE70","AGE71","AGE72","AGE73","AGE74","AGE75","AGE76","AGE77","AGE78","AGE79","AGE80","AGE81","AGE82","AGE83","AGE84","AGE85","AGE86","AGE87","AGE88","AGE89","AGE90"
"332","S01006837",8,3,5,8,6,6,10,7,4,11,6,10,8,10,6,7,12,10,11,9,6,3,9,1,5,4,4,4,7,8,4,1,7,7,8,6,4,10,8,10,13,16,11,8,9,11,14,10,12,10,9,8,10,9,7,6,5,6,9,7,8,1,5,7,7,10,7,10,7,12,2,5,11,3,8,4,1,5,3,3,2,1,2,0,2,0,1,0,0,0,4
"333","S01006838",5,5,6,7,15,8,10,10,13,12,12,6,8,5,10,10,3,10,8,5,4,7,4,8,5,11,2,2,7,6,2,8,9,7,6,7,8,12,10,5,8,14,16,13,17,9,12,16,14,13,15,10,11,10,12,11,11,12,8,7,6,6,10,6,4,15,8,8,2,2,5,3,3,1,2,4,4,3,1,1,0,5,1,1,4,0,1,2,0,1,3
"334","S01006839",9,8,8,15,0,11,12,4,12,10,11,9,12,10,13,10,16,7,8,9,7,13,10,3,7,20,13,15,9,10,10,8,7,12,9,18,16,15,10,19,12,16,8,19,17,11,8,11,13,21,13,16,14,10,13,14,21,16,17,14,17,19,20,20,17,18,14,9,9,15,10,15,12,10,8,4,3,14,7,7,6,4,3,8,4,3,3,5,1,1,3
"335","S01006840",9,14,15,14,14,14,13,27,25,14,26,19,13,17,17,12,17,8,18,9,12,10,13,15,5,5,7,4,2,16,3,8,7,16,17,22,14,17,31,26,18,25,10,19,19,14,18,21,14,12,22,17,17,15,7,14,10,15,10,19,14,4,22,6,18,19,8,10,7,11,10,17,6,12,3,9,5,2,7,7,5,5,5,2,2,2,1,1,1,1,4
"336","S01006841",7,13,13,8,12,13,12,12,13,12,13,6,10,11,10,14,4,12,9,13,9,13,11,10,12,15,7,10,14,18,14,15,12,10,14,9,12,4,19,11,17,9,14,18,27,19,15,10,21,17,26,18,11,11,12,13,8,13,12,11,7,7,10,5,11,14,14,6,5,9,7,3,4,6,7,6,4,5,1,1,3,0,0,1,3,1,0,1,0,0,1
"337","S01006842",5,4,6,6,4,9,11,9,7,11,10,6,8,3,9,8,13,10,11,14,16,11,12,10,13,13,4,3,5,1,4,1,11,2,8,8,6,11,6,8,6,9,8,16,11,17,11,19,23,14,19,17,24,12,4,16,18,7,10,15,9,16,10,6,11,11,15,9,8,13,8,9,10,10,6,8,1,8,2,4,3,5,2,4,1,2,0,0,1,0,0
"338","S01006843",6,6,13,5,10,12,5,9,17,7,13,8,10,9,6,12,15,13,11,19,12,13,11,11,10,8,8,1,16,9,10,11,13,8,10,8,6,11,5,6,12,11,22,18,15,14,18,15,20,21,21,17,17,14,12,23,10,10,6,16,4,4,4,12,8,10,11,10,11,3,5,2,6,1,6,2,2,5,6,3,3,3,1,0,1,0,1,0,0,0,1
"339","S01006844",5,5,8,5,7,4,5,4,4,6,2,4,4,4,3,4,7,10,9,12,11,9,9,11,9,8,11,17,8,9,6,6,16,6,6,8,5,10,11,7,9,11,11,6,13,12,11,9,10,10,18,13,14,14,16,13,12,12,6,13,12,9,10,5,2,5,11,5,6,6,7,3,5,12,4,7,3,2,3,3,2,3,3,0,1,2,0,0,1,0,2
"340","S01006845",2,9,15,8,5,6,10,6,12,7,9,12,10,10,19,11,18,14,18,17,16,19,10,17,11,6,8,16,8,10,10,16,14,13,15,8,10,10,14,9,12,16,15,13,17,16,24,14,21,22,22,20,19,21,15,15,15,17,16,13,9,12,11,9,6,13,10,9,9,5,3,9,4,5,4,4,2,4,4,0,5,4,0,3,0,1,1,0,1,0,1
"341","S01006846",4,2,3,4,4,3,4,2,2,4,10,9,3,4,6,10,6,6,5,6,12,8,9,12,6,9,6,11,9,9,7,7,4,8,1,2,3,7,7,2,2,14,4,9,7,12,11,9,13,15,11,12,13,9,8,10,9,5,9,14,14,7,4,8,4,8,5,6,8,2,1,4,4,2,2,6,5,7,3,6,4,0,1,2,2,0,1,2,3,0,2
