"","dz2011","simd2020_inc_rate"
"1073","S01007578",0.27
"1074","S01007579",0.27
"1075","S01007580",0.24
"1076","S01007581",0.21
"1077","S01007582",0.22
"1078","S01007583",0.31
"1079","S01007584",0.17
"1080","S01007585",0.07
"1081","S01007586",0.2
"1082","S01007587",0.08
"1083","S01007588",0.04
"1084","S01007589",0.09
"1085","S01007590",0.03
"1086","S01007591",0.09
"1087","S01007592",0.2
"1088","S01007593",0.09
"1089","S01007594",0.06
"1090","S01007595",0.11
"1091","S01007596",0.06
"1092","S01007597",0.05
"1093","S01007598",0.07
"1094","S01007599",0.11
"1095","S01007600",0.09
"1096","S01007601",0.07
"1097","S01007602",0.05
"1098","S01007603",0.03
"1099","S01007604",0.04
"1100","S01007605",0.04
"1101","S01007606",0.07
"1102","S01007607",0.05
"1103","S01007608",0.02
"1104","S01007609",0.19
"1105","S01007610",0.13
"1106","S01007611",0.21
"1107","S01007612",0.27
"1108","S01007613",0.08
"1109","S01007614",0.03
"1110","S01007615",0.11
"1111","S01007616",0.17
"1112","S01007617",0.15
"1113","S01007618",0.13
"1114","S01007619",0.13
"1115","S01007620",0.02
"1116","S01007621",0.03
"1117","S01007622",0.1
"1118","S01007623",0.04
"1119","S01007624",0.04
"1120","S01007625",0.02
"1121","S01007626",0.04
"1122","S01007627",0.02
"1123","S01007628",0.04
"1124","S01007629",0.1
"1125","S01007630",0.03
"1126","S01007631",0.05
"1127","S01007632",0.08
"1128","S01007633",0.1
"1129","S01007634",0.07
"1130","S01007635",0.06
"1131","S01007636",0.13
"1132","S01007637",0.12
"1133","S01007638",0.12
"1134","S01007639",0.16
"1135","S01007640",0.09
"1136","S01007641",0.1
"1137","S01007642",0.09
"1138","S01007643",0.07
"1139","S01007644",0.09
"1140","S01007645",0.07
"1141","S01007646",0.14
"1142","S01007647",0.08
"1143","S01007648",0.1
"1144","S01007649",0.1
"1145","S01007650",0.09
